fracNoisy,fracMasked,fracReconstructed,nTracksTotal,nTracksReconstructed
0,0,0.970588235,850,825
0.00001,0,0.969411765,850,824
0.00002,0,0.969411765,850,824
0.00003,0,0.967058824,850,822
0.00004,0,0.965882353,850,821
0.00005,0,0.961176471,850,817
0.00006,0,0.958823529,850,815
0.00007,0,0.956470588,850,813
0.00008,0,0.951764706,850,809
0.00009,0,0.949411765,850,807
0.0001,0,0.947058824,850,805
